Algoritmo,Tamano,Tiempo del algoritmo,Candidato,K,Resultado
k_heapsort.obtener_estadistico_orden_k,25,1.6874074935913087e-05,6,6,2
k_selecciones.obtener_estadistico_orden_k,25,8.183717727661133e-06,6,6,2
heap_select.obtener_estadistico_orden_k,25,3.679990768432617e-05,6,6,2
ordenar_y_seleccionar.obtener_estadistico_orden_k,25,1.6748905181884766e-06,6,6,2
fuerza_bruta.obtener_estadistico_orden_k,25,2.5528669357299805e-05,6,6,
quick_select.obtener_estadistico_orden_k,25,6.5445899963378905e-06,6,6,2
k_heapsort.obtener_estadistico_orden_k,50,2.7310848236083984e-05,5,8,2
k_selecciones.obtener_estadistico_orden_k,50,1.0651350021362304e-05,5,8,2
heap_select.obtener_estadistico_orden_k,50,5.356669425964356e-05,5,8,2
ordenar_y_seleccionar.obtener_estadistico_orden_k,50,3.2365322113037108e-06,5,8,2
fuerza_bruta.obtener_estadistico_orden_k,50,9.081363677978515e-05,5,8,
quick_select.obtener_estadistico_orden_k,50,1.0460615158081055e-05,5,8,2
k_heapsort.obtener_estadistico_orden_k,75,3.488659858703613e-05,5,73,2
k_selecciones.obtener_estadistico_orden_k,75,1.258254051208496e-05,5,73,2
heap_select.obtener_estadistico_orden_k,75,5.8722496032714846e-05,5,73,2
ordenar_y_seleccionar.obtener_estadistico_orden_k,75,4.816055297851562e-06,5,73,2
fuerza_bruta.obtener_estadistico_orden_k,75,0.00017810463905334472,5,73,
quick_select.obtener_estadistico_orden_k,75,8.082389831542968e-06,5,73,2
k_heapsort.obtener_estadistico_orden_k,100,4.712939262390137e-05,9,92,2
k_selecciones.obtener_estadistico_orden_k,100,2.7823448181152344e-05,9,92,2
heap_select.obtener_estadistico_orden_k,100,9.402036666870118e-05,9,92,2
ordenar_y_seleccionar.obtener_estadistico_orden_k,100,6.318092346191406e-06,9,92,2
fuerza_bruta.obtener_estadistico_orden_k,100,1.6492605209350585e-05,9,92,2
quick_select.obtener_estadistico_orden_k,100,1.9729137420654297e-05,9,92,2
k_heapsort.obtener_estadistico_orden_k,200,6.754994392395019e-05,1,177,1
k_selecciones.obtener_estadistico_orden_k,200,7.981061935424805e-06,1,177,1
heap_select.obtener_estadistico_orden_k,200,0.00011820197105407714,1,177,1
ordenar_y_seleccionar.obtener_estadistico_orden_k,200,1.8930435180664064e-05,1,177,1
fuerza_bruta.obtener_estadistico_orden_k,200,0.0012758851051330566,1,177,
quick_select.obtener_estadistico_orden_k,200,3.9964914321899414e-05,1,177,1
